2010-09-11 00:13:57 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/debugger.php, line 684]
2010-09-11 00:13:57 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/debugger.php, line 688]
2010-09-12 20:50:38 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2066]
2010-09-12 20:50:38 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2069]
2010-09-12 20:50:38 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2071]
2010-09-12 20:50:38 Notice: Notice (8): Undefined index: login in [/Users/fokker/Documents/www/shopifyRestApiPlugin/app/plugins/shopify/models/datasources/shopify_source.php, line 36]
2010-09-12 20:50:38 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2096]
2010-09-12 20:50:43 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2066]
2010-09-12 20:50:43 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2069]
2010-09-12 20:50:43 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2071]
2010-09-12 20:50:43 Notice: Notice (8): Undefined index: login in [/Users/fokker/Documents/www/shopifyRestApiPlugin/app/plugins/shopify/models/datasources/shopify_source.php, line 36]
2010-09-12 20:50:43 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2096]
2010-09-12 20:50:44 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2066]
2010-09-12 20:50:44 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2069]
2010-09-12 20:50:44 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2071]
2010-09-12 20:50:44 Notice: Notice (8): Undefined index: login in [/Users/fokker/Documents/www/shopifyRestApiPlugin/app/plugins/shopify/models/datasources/shopify_source.php, line 36]
2010-09-12 20:50:44 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2096]
2010-09-12 20:50:45 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2066]
2010-09-12 20:50:45 Notice: Notice (8): Undefined index: order in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2069]
2010-09-12 20:50:45 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2071]
2010-09-12 20:50:45 Notice: Notice (8): Undefined index: login in [/Users/fokker/Documents/www/shopifyRestApiPlugin/app/plugins/shopify/models/datasources/shopify_source.php, line 36]
2010-09-12 20:50:45 Notice: Notice (8): Undefined index: callbacks in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2096]
2010-09-12 20:53:14 Notice: Notice (8): Undefined index: login in [/Users/fokker/Documents/www/shopifyRestApiPlugin/app/plugins/shopify/models/datasources/shopify_source.php, line 32]
2010-09-12 20:53:14 Notice: Notice (8): Undefined index: login in [/Users/fokker/Documents/www/shopifyRestApiPlugin/app/plugins/shopify/models/datasources/shopify_source.php, line 36]
2010-09-12 20:54:58 Notice: Notice (8): Undefined index: login in [/Users/fokker/Documents/www/shopifyRestApiPlugin/app/plugins/shopify/models/datasources/shopify_source.php, line 32]
2010-09-12 20:54:58 Notice: Notice (8): Undefined index: login in [/Users/fokker/Documents/www/shopifyRestApiPlugin/app/plugins/shopify/models/datasources/shopify_source.php, line 36]
2010-09-12 20:55:00 Notice: Notice (1024): XML cannot be read in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/xml.php, line 912]
2010-09-12 21:13:54 Notice: Notice (8): Use of undefined constant results - assumed 'results' in [/Users/fokker/Documents/www/shopifyRestApiPlugin/app/plugins/shopify/models/product.php, line 147]
2010-09-12 23:39:27 Notice: Notice (8): Undefined index: first in [/Users/fokker/Documents/www/shopifyRestApiPlugin/cake/libs/model/model.php, line 2055]
